prob_q5_q1,i_urban,share_black,share_middleclass,share_divorced,share_married
0.1670205,1,0.0050333,0.64871,0.0779245,0.5867254
0.092119,1,0.0304153,0.52397,0.0914473,0.5359558
0.1592866,1,0.0051168,0.64981,0.0793546,0.5985851
0.0966942,0,0.0159548,0.60445,0.0977324,0.5300419
0.101396,0,0.0203864,0.64033,0.0983285,0.604097
0.085213,1,0.054623,0.51521,0.0920421,0.5517596
0.0677928,1,0.0945161,0.56221,0.0930519,0.5251856
0.1022168,0,0.0212252,0.6457,0.1076923,0.5837381
0.0885445,0,0.0429756,0.61196,0.107627,0.5564148
0.0810868,1,0.0554935,0.53584,0.1080466,0.5622135
0.1149289,0,0.0134715,0.63055,0.0962847,0.585753
0.0716451,1,0.0611984,0.53377,0.0971044,0.5844065
0.0691956,1,0.0591592,0.5495,0.1002283,0.5662224
0.0445263,1,0.1412247,0.48963,0.0922993,0.532173
0.073133599999999993,1,0.1195854,0.57735,0.0927919,0.56344
0.0649209,1,0.1878835,0.44296,0.0826623,0.5210395
0.073504,1,0.0639058,0.56035,0.1000153,0.5709733
0.0797373,0,0.0498614,0.58779,0.0889707,0.5965477
0.0848948,0,0.0146738,0.59863,0.1047821,0.5896262
0.0504917,1,0.1953342,0.4756,0.1033248,0.5303282
0.0738739,0,0.0551212,0.6319,0.1090667,0.5696223
0.0917917,0,0.0398003,0.63369,0.1047817,0.5982691
0.0671506,1,0.0782598,0.52701,0.1178728,0.5558065
0.087423,1,0.0568464,0.56997,0.1039002,0.5725525
0.0899954,0,0.0372783,0.62443,0.1021107,0.5846767
0.0897833,0,0.001155,0.50556,0.1044505,0.6527966
0.0811738,0,0.002297,0.4878,0.1008776,0.6330313
0.0996016,0,0.0010371,0.53748,0.113741,0.6247787
0.1096939,0,0.0017009,0.50995,0.103607,0.6571736
0.0960983,0,0.0148295,0.54482,0.1102656,0.6302641
0.0996909,1,0.0651986,0.5638,0.1085603,0.6086376
0.0734436,0,0.081193,0.56137,0.1003965,0.5871368
0.0741246,0,0.0607339,0.52673,0.1140442,0.6039006
0.0681818,0,0.0351113,0.53086,0.084339,0.5543425
0.0813444,1,0.0438244,0.61139,0.0974713,0.6060628
0.0790656,1,0.0822083,0.56817,0.1037154,0.5593756
0.113307,0,0.0323082,0.57747,0.1105215,0.5823621
0.0598247,1,0.0753983,0.53982,0.1006008,0.5760054
0.0663168,0,0.029004,0.48148,0.1194255,0.5943425
0.0513736,0,0.2378091,0.41871,0.1108986,0.5386
0.0810114,1,0.0427289,0.554,0.110888,0.590708
0.1875,0,0.001534,0.71471,0.0839062,0.626381
0.0890882,1,0.0077789,0.60759,0.1038243,0.544766
0.1683168,0,0.0018809,0.61103,0.103178,0.5840151
0.100211,0,0.0439904,0.64153,0.10994,0.5827634
0.0933014,0,0.036544,0.60746,0.1011133,0.5803033
0.1119221,0,0.0155912,0.62537,0.0958111,0.5882486
0.1083333,0,0.0033829,0.62544,0.0993395,0.6021894
0.0871369,0,9.645e-4,0.58295,0.1020388,0.6099112
0.1467181,0,0.0024772,0.63774,0.0954508,0.6081059
0.1151832,0,0.0079759,0.56508,0.0779925,0.5061858
0.1859813,1,0.001839,0.61217,0.0814367,0.5958169
0.298913,0,3.988e-4,0.62308,0.0395041,0.6551598
0.0976059,0,0.0014069,0.60346,0.0814732,0.5469866
0.3333333,0,0.0010743,0.68224,0.0560801,0.6297206
0.0825545,0,7.251e-4,0.47497,0.0965832,0.4779263
0.2242991,0,0.0172791,0.6781,0.0786394,0.5907624
0.2191011,0,0.0011317,0.64728,0.060926,0.6298251
0.3571429,0,0.0024219,0.67333,0.0558368,0.633474
0.0941884,0,8.732e-4,0.52667,0.1063942,0.5160915
0.166065,0,0.0012219,0.60942,0.074295,0.6129587
0.2666667,0,0.0020745,0.68814,0.0848596,0.6062271
0.3300248,0,0.0017697,0.66419,0.0717396,0.5976118
0.2494279,0,8.623e-4,0.66726,0.0811248,0.5934764
0.3391089,0,8.647e-4,0.6535,0.0901739,0.5842234
0.1702128,0,0.0026335,0.67,0.0625226,0.5249789
0.1843575,0,0.0026836,0.68576,0.0677169,0.5638437
0.1193548,1,0.0121517,0.59942,0.0894455,0.5632534
0.1438679,0,0.0011478,0.68298,0.0707756,0.6106068
0.1702128,0,6.741e-4,0.68634,0.056925,0.6345499
0.1070664,0,0.0010547,0.61635,0.0782077,0.5789406
0.070028000000000007,1,6.079e-4,0.46465,0.1049174,0.4048423
0.1111111,0,2.579e-4,0.66279,0.0826569,0.5794269
0.2007299,0,0.0022338,0.63621,0.0753855,0.5908515
0.0958974,0,0.00244,0.57716,0.0870245,0.5703824
0.2332564,0,0.0016082,0.6594,0.06696,0.6173882
0.1766234,0,0.0015693,0.67212,0.076773,0.5893617
0.1277174,1,0.0089361,0.6398,0.0736569,0.5323486
0.1365003,1,0.0063737,0.59668,0.0795135,0.533316
0.2352941,0,0.0011865,0.69913,0.070004,0.6263012
0.2269503,0,0.0028137,0.64831,0.0811936,0.5710996
0.15266,0,0.0029432,0.64825,0.0716757,0.6081548
0.1652614,0,0.0022476,0.65924,0.0785423,0.6022235
0.1893491,0,2.017e-4,0.62829,0.0599504,0.6492773
0.2392344,0,0.002005,0.5973,0.0646109,0.6357073
0.192053,0,1.596e-4,0.57091,0.0763889,0.6388889
0.1392857,0,3.564e-4,0.58608,0.0711883,0.5998879
0.1714744,0,0.0064717,0.67036,0.0676176,0.6194828
0.1331719,0,0.0021005,0.63924,0.0766751,0.5865716
0.1204819,0,0.0061083,0.64908,0.090915,0.5941504
0.1571072,0,9.098e-4,0.63147,0.0549896,0.607647
0.0804196,0,0.0016828,0.56932,0.0806229,0.5305789
0.0920502,0,0.001682,0.60879,0.0980416,0.6158646
0.1258581,0,0.0062651,0.65879,0.0735346,0.5946566
0.1535836,0,0.008471,0.66054,0.0546055,0.6081184
0.2277433,0,0.0019503,0.73376,0.0422682,0.6343694
0.1391162,0,0.0045669,0.71311,0.0588858,0.626855
0.1863057,0,0.0012765,0.68411,0.0773651,0.6115883
0.1301483,0,0.0024077,0.69538,0.0727686,0.608053
0.1743119,0,0.002632,0.69194,0.0690666,0.5969461
0.1300448,0,0.0148273,0.66785,0.0909665,0.5875846
0.0908319,1,0.0332521,0.53839,0.0978831,0.5643552
0.1223301,0,0.0034551,0.66069,0.0909283,0.5988396
0.154195,0,0.0015279,0.66554,0.0742521,0.6424339
0.1660959,0,0.0033861,0.68334,0.0713399,0.6039082
0.0930718,1,0.0073276,0.61722,0.1108369,0.5761445
0.0511182,0,2.355e-4,0.47549,0.1238532,0.4216514
0.1103448,0,1.951e-4,0.62319,0.0656915,0.5619681
0.0242537,0,7.186e-4,0.37882,0.138341,0.3729193
0.1184211,0,0.0030499,0.60503,0.0969828,0.5907169
